pair,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
archivo1.txt-archivo2.txt,790.723,687.247,421,496.75,640,809.5,8731
archivo1.txt-archivo3.txt,580.316,131.16,408,475,519.5,672.25,1173
archivo1.txt-archivo4.txt,616.105,350.12,428,486,579.5,669.5,5103
archivo2.txt-archivo1.txt,587.215,289.357,426,462,550.5,666.25,4767
archivo2.txt-archivo3.txt,604.105,194.609,418,484.5,582,684,2988
archivo2.txt-archivo4.txt,576.016,130.171,410,485,526.5,647.25,1556
archivo3.txt-archivo1.txt,574.309,113.038,425,483,528,653.25,1210
archivo3.txt-archivo2.txt,604.438,118.96,438,494,595.5,697.25,962
archivo3.txt-archivo4.txt,574.922,116.653,432,486.75,538,646.75,1017
archivo4.txt-archivo1.txt,625.625,517.547,419,469,527,654.25,5511
archivo4.txt-archivo2.txt,626.656,369.965,429,478,599,684.25,5585
archivo4.txt-archivo3.txt,578.242,111.186,425,463,575,658.25,893
